,user_id,item_id,term,length_of_stay_bucket,rate_plan,room_segment,n_people_bucket,weekend_stay
61,69,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
62,70,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
63,71,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
64,72,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
65,73,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
66,74,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
67,75,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
68,76,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
69,77,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
70,78,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
71,79,35,OffSeason,[2-3],Standard,[160-260],[1-1],False
72,80,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
73,81,36,OffSeason,[4-7],Standard,[160-260],[1-1],True
74,81,36,OffSeason,[4-7],Standard,[160-260],[1-1],True
75,81,36,OffSeason,[4-7],Standard,[160-260],[1-1],True
76,82,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
77,83,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
78,84,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
79,85,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
80,86,32,OffSeason,[2-3],Standard,[260-360],[2-2],True
81,86,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
82,87,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
83,1,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
84,1,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
85,89,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
86,90,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
87,91,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
88,92,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
89,93,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
90,94,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
91,95,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
92,97,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
93,98,37,OffSeason,[8-inf],Standard,[160-260],[2-2],True
94,99,38,OffSeason,[4-7],Standard,[260-360],[3-4],True
95,100,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
96,101,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
97,102,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
98,103,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
99,104,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
100,105,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
101,106,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
102,107,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
103,108,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
104,109,17,OffSeason,[2-3],Standard,[160-260],[1-1],True
105,110,31,OffSeason,[2-3],Standard,[160-260],[5-inf],True
106,110,31,OffSeason,[2-3],Standard,[160-260],[5-inf],True
107,110,31,OffSeason,[2-3],Standard,[160-260],[5-inf],True
108,111,36,OffSeason,[4-7],Standard,[160-260],[1-1],True
109,112,39,OffSeason,[2-3],Standard,[260-360],[1-1],True
110,113,2,WinterVacation,[2-3],Standard,[160-260],[2-2],True
111,119,40,WinterVacation,[2-3],Standard,[260-360],[2-2],False
112,121,3,WinterVacation,[4-7],Standard,[160-260],[3-4],True
113,126,3,WinterVacation,[4-7],Standard,[160-260],[3-4],True
114,128,2,WinterVacation,[2-3],Standard,[160-260],[2-2],True
115,134,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True
116,146,2,WinterVacation,[2-3],Standard,[160-260],[2-2],True
117,149,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True
118,150,41,WinterVacation,[4-7],Standard,[160-260],[1-1],True
119,156,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True
120,173,42,WinterVacation,[0-1],Standard,[160-260],[1-1],False
121,225,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True
122,313,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True
123,356,2,WinterVacation,[2-3],Standard,[160-260],[2-2],True
124,412,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True
125,442,43,WinterVacation,[8-inf],Standard,[160-260],[3-4],True
126,471,44,WinterVacation,[0-1],Standard,[160-260],,False
127,472,41,WinterVacation,[4-7],Standard,[160-260],[1-1],True
128,473,45,Easter,[2-3],Nonref,[160-260],[3-4],True
129,474,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
130,475,12,LowSeason,[4-7],Standard,[160-260],[3-4],True
131,476,46,HighSeason,[4-7],Standard,[160-260],[5-inf],False
132,477,47,OffSeason,[2-3],Nonref,[160-260],[3-4],True
133,478,47,OffSeason,[2-3],Nonref,[160-260],[3-4],True
134,479,9,HighSeason,[2-3],Standard,[160-260],[3-4],True
135,480,48,OffSeason,[2-3],Nonref,[160-260],[2-2],False
136,481,49,OffSeason,[0-1],Standard,[160-260],[2-2],True
137,482,47,OffSeason,[2-3],Nonref,[160-260],[3-4],True
138,483,31,OffSeason,[2-3],Standard,[160-260],[5-inf],True
139,484,50,OffSeason,[4-7],Nonref,[160-260],[2-2],True
140,484,51,OffSeason,[4-7],Nonref,[160-260],[3-4],True
141,485,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
142,486,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
143,487,52,OffSeason,[2-3],Nonref,[160-260],[2-2],True
144,488,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
145,489,52,OffSeason,[2-3],Nonref,[160-260],[2-2],True
146,490,53,OffSeason,[4-7],Nonref,[160-260],[2-2],False
147,491,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
148,492,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
149,493,54,OffSeason,[2-3],Nonref,[160-260],[3-4],False
150,494,52,OffSeason,[2-3],Nonref,[160-260],[2-2],True
151,495,55,OffSeason,[0-1],Nonref,[160-260],[5-inf],True
152,496,56,Easter,[2-3],Standard,[160-260],[5-inf],True
153,497,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
154,498,57,WinterVacation,[2-3],Nonref,[160-260],[2-2],True
155,499,50,OffSeason,[4-7],Nonref,[160-260],[2-2],True
156,500,58,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
157,500,58,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
158,500,58,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
159,501,50,OffSeason,[4-7],Nonref,[160-260],[2-2],True
160,502,47,OffSeason,[2-3],Nonref,[160-260],[3-4],True
161,503,52,OffSeason,[2-3],Nonref,[160-260],[2-2],True
162,504,58,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
163,505,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
164,505,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
165,505,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
166,505,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
167,506,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
168,507,59,OffSeason,[8-inf],Standard,[0-160],[2-2],True
169,508,60,HighSeason,[4-7],Standard,[0-160],[2-2],True
170,509,61,OffSeason,[4-7],Nonref,[260-360],[5-inf],True
171,510,62,OffSeason,[2-3],Standard,[0-160],[2-2],True
172,511,63,MayLongWeekend,[4-7],Nonref,[160-260],[2-2],True
173,512,64,WinterVacation,[4-7],Standard,[160-260],[2-2],True
174,513,47,OffSeason,[2-3],Nonref,[160-260],[3-4],True
175,514,65,OffSeason,[2-3],Nonref,[0-160],[2-2],True
176,515,66,HighSeason,[4-7],Standard,[160-260],[3-4],True
177,516,52,OffSeason,[2-3],Nonref,[160-260],[2-2],True
178,517,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
179,518,52,OffSeason,[2-3],Nonref,[160-260],[2-2],True
180,519,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
181,520,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
182,521,47,OffSeason,[2-3],Nonref,[160-260],[3-4],True
183,522,50,OffSeason,[4-7],Nonref,[160-260],[2-2],True
184,523,47,OffSeason,[2-3],Nonref,[160-260],[3-4],True
185,524,5,Easter,[4-7],Standard,[260-360],[5-inf],True
186,525,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
187,526,67,OffSeason,[2-3],Standard,[260-360],[5-inf],False
188,527,52,OffSeason,[2-3],Nonref,[160-260],[2-2],True
189,528,27,Easter,[2-3],Standard,[160-260],[3-4],True
190,529,68,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
191,530,65,OffSeason,[2-3],Nonref,[0-160],[2-2],True
192,531,9,HighSeason,[2-3],Standard,[160-260],[3-4],True
193,532,50,OffSeason,[4-7],Nonref,[160-260],[2-2],True
194,533,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
195,534,62,OffSeason,[2-3],Standard,[0-160],[2-2],True
196,535,12,LowSeason,[4-7],Standard,[160-260],[3-4],True
197,536,47,OffSeason,[2-3],Nonref,[160-260],[3-4],True
198,537,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
199,538,69,Easter,[2-3],Standard,[160-260],[2-2],True
200,539,27,Easter,[2-3],Standard,[160-260],[3-4],True
201,540,65,OffSeason,[2-3],Nonref,[0-160],[2-2],True
202,541,70,HighSeason,[8-inf],Nonref,[160-260],[3-4],True
203,542,71,OffSeason,[4-7],Nonref,[0-160],[2-2],True
204,543,12,LowSeason,[4-7],Standard,[160-260],[3-4],True
205,544,47,OffSeason,[2-3],Nonref,[160-260],[3-4],True
206,545,51,OffSeason,[4-7],Nonref,[160-260],[3-4],True
207,546,50,OffSeason,[4-7],Nonref,[160-260],[2-2],True
208,547,72,MayLongWeekend,[2-3],Nonref,[0-160],[2-2],True
209,548,65,OffSeason,[2-3],Nonref,[0-160],[2-2],True
210,549,62,OffSeason,[2-3],Standard,[0-160],[2-2],True
211,550,17,OffSeason,[2-3],Standard,[160-260],[1-1],True
212,551,33,OffSeason,[2-3],Standard,[160-260],[3-4],False
213,552,50,OffSeason,[4-7],Nonref,[160-260],[2-2],True
214,553,73,HighSeason,[2-3],Nonref,[160-260],[3-4],True
215,554,38,OffSeason,[4-7],Standard,[260-360],[3-4],True
216,555,65,OffSeason,[2-3],Nonref,[0-160],[2-2],True
217,556,74,HighSeason,[2-3],Standard,[0-160],[2-2],True
218,557,73,HighSeason,[2-3],Nonref,[160-260],[3-4],True
219,557,73,HighSeason,[2-3],Nonref,[160-260],[3-4],True
220,558,75,HighSeason,[4-7],Nonref,[0-160],[2-2],True
221,559,76,HighSeason,[2-3],Nonref,[260-360],[5-inf],True
222,560,12,LowSeason,[4-7],Standard,[160-260],[3-4],True
223,561,77,OffSeason,[4-7],Standard,[0-160],[2-2],True
224,562,78,OffSeason,[4-7],Nonref,[160-260],[3-4],False
225,562,53,OffSeason,[4-7],Nonref,[160-260],[2-2],False
226,563,68,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
227,564,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
228,565,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
229,566,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
230,567,73,HighSeason,[2-3],Nonref,[160-260],[3-4],True
231,568,48,OffSeason,[2-3],Nonref,[160-260],[2-2],False
232,569,79,OffSeason,[0-1],Nonref,[260-360],[5-inf],True
233,570,52,OffSeason,[2-3],Nonref,[160-260],[2-2],True
234,571,80,HighSeason,[4-7],Standard,[160-260],[2-2],True
235,572,81,LowSeason,[4-7],Standard,[0-160],[2-2],True
236,573,71,OffSeason,[4-7],Nonref,[0-160],[2-2],True
237,574,47,OffSeason,[2-3],Nonref,[160-260],[3-4],True
238,575,82,OffSeason,[2-3],Nonref,[260-360],[3-4],True
239,576,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
240,577,62,OffSeason,[2-3],Standard,[0-160],[2-2],True
241,578,51,OffSeason,[4-7],Nonref,[160-260],[3-4],True
242,579,83,HighSeason,[4-7],Nonref,[160-260],[2-2],True
243,580,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
244,581,84,LowSeason,[2-3],Nonref,[260-360],[5-inf],False
245,582,85,OffSeason,[2-3],Standard,[0-160],[2-2],False
246,583,47,OffSeason,[2-3],Nonref,[160-260],[3-4],True
247,584,86,LowSeason,[4-7],Nonref,[260-360],[3-4],True
248,585,36,OffSeason,[4-7],Standard,[160-260],[1-1],True
249,586,47,OffSeason,[2-3],Nonref,[160-260],[3-4],True
250,586,47,OffSeason,[2-3],Nonref,[160-260],[3-4],True
251,586,47,OffSeason,[2-3],Nonref,[160-260],[3-4],True
252,586,68,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
253,586,52,OffSeason,[2-3],Nonref,[160-260],[2-2],True
254,586,52,OffSeason,[2-3],Nonref,[160-260],[2-2],True
255,586,68,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
256,587,71,OffSeason,[4-7],Nonref,[0-160],[2-2],True
257,588,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
258,589,87,Easter,[4-7],Standard,[160-260],[3-4],True
259,590,88,HighSeason,[2-3],Nonref,[0-160],[2-2],True
260,571,80,HighSeason,[4-7],Standard,[160-260],[2-2],True
261,591,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
262,592,47,OffSeason,[2-3],Nonref,[160-260],[3-4],True
263,593,61,OffSeason,[4-7],Nonref,[260-360],[5-inf],True
264,594,38,OffSeason,[4-7],Standard,[260-360],[3-4],True
265,595,9,HighSeason,[2-3],Standard,[160-260],[3-4],True
266,596,89,OffSeason,[8-inf],Standard,[160-260],[3-4],True
267,597,47,OffSeason,[2-3],Nonref,[160-260],[3-4],True
268,598,90,OffSeason,[8-inf],Nonref,[0-160],[2-2],True
269,599,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
270,600,68,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
271,601,91,OffSeason,[4-7],Nonref,[0-160],[1-1],True
272,602,68,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
273,603,62,OffSeason,[2-3],Standard,[0-160],[2-2],True
274,604,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
275,605,74,HighSeason,[2-3],Standard,[0-160],[2-2],True
276,606,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
277,607,92,HighSeason,[4-7],Standard,[260-360],[5-inf],True
278,608,93,HighSeason,[4-7],Nonref,[260-360],[5-inf],True
279,519,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
280,609,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
281,610,94,OffSeason,[4-7],Nonref,[160-260],[5-inf],True
282,611,52,OffSeason,[2-3],Nonref,[160-260],[2-2],True
283,612,95,LowSeason,[4-7],Standard,[260-360],[5-inf],True
284,613,58,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
285,613,68,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
286,614,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
287,615,68,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
288,616,96,HighSeason,[2-3],Nonref,[160-260],[5-inf],True
289,617,92,HighSeason,[4-7],Standard,[260-360],[5-inf],True
290,618,97,OffSeason,[2-3],Nonref,[160-260],[5-inf],False
291,618,98,OffSeason,[2-3],Nonref,[260-360],[5-inf],False
292,619,52,OffSeason,[2-3],Nonref,[160-260],[2-2],True
293,620,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
294,620,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
295,621,99,LowSeason,[4-7],Nonref,[160-260],[5-inf],True
296,622,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
297,623,100,HighSeason,[2-3],Standard,[260-360],[5-inf],True
298,623,101,HighSeason,[2-3],Standard,[160-260],[5-inf],True
299,624,65,OffSeason,[2-3],Nonref,[0-160],[2-2],True
300,625,45,Easter,[2-3],Nonref,[160-260],[3-4],True
301,626,102,Easter,[4-7],Nonref,[160-260],[3-4],True
302,627,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
303,628,61,OffSeason,[4-7],Nonref,[260-360],[5-inf],True
304,629,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
305,630,84,LowSeason,[2-3],Nonref,[260-360],[5-inf],False
306,631,82,OffSeason,[2-3],Nonref,[260-360],[3-4],True
307,632,103,MayLongWeekend,[4-7],Nonref,[260-360],[5-inf],True
308,633,104,OffSeason,[8-inf],Standard,[160-260],[1-1],True
309,634,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
310,635,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
311,636,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
312,637,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
313,638,105,Easter,[2-3],Nonref,[260-360],[5-inf],True
314,639,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
315,640,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
316,641,68,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
317,642,106,OffSeason,[4-7],Nonref,[260-360],[3-4],True
318,643,61,OffSeason,[4-7],Nonref,[260-360],[5-inf],True
319,644,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
320,645,106,OffSeason,[4-7],Nonref,[260-360],[3-4],True
321,645,106,OffSeason,[4-7],Nonref,[260-360],[3-4],True
322,646,82,OffSeason,[2-3],Nonref,[260-360],[3-4],True
323,647,107,HighSeason,[2-3],Standard,[260-360],[3-4],True
324,647,107,HighSeason,[2-3],Standard,[260-360],[3-4],True
325,648,108,Easter,[2-3],Standard,[260-360],[3-4],False
326,649,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
327,650,68,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
328,651,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
329,652,109,WinterVacation,[2-3],Standard,[260-360],[3-4],False
330,653,6,OffSeason,[2-3],Standard,[260-360],[5-inf],True
331,654,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
332,655,47,OffSeason,[2-3],Nonref,[160-260],[3-4],True
333,656,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
334,657,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
335,658,26,OffSeason,[4-7],Standard,[160-260],[2-2],False
336,659,24,OffSeason,[4-7],Standard,[160-260],[2-2],True
337,660,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
338,661,27,Easter,[2-3],Standard,[160-260],[3-4],True
339,662,52,OffSeason,[2-3],Nonref,[160-260],[2-2],True
340,663,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
341,664,110,OffSeason,[0-1],Standard,[160-260],[3-4],False
342,665,111,Easter,[0-1],Nonref,[160-260],[2-2],False
343,666,47,OffSeason,[2-3],Nonref,[160-260],[3-4],True
344,667,27,Easter,[2-3],Standard,[160-260],[3-4],True
345,668,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
346,669,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
347,670,57,WinterVacation,[2-3],Nonref,[160-260],[2-2],True
348,671,47,OffSeason,[2-3],Nonref,[160-260],[3-4],True
349,672,52,OffSeason,[2-3],Nonref,[160-260],[2-2],True
350,673,112,WinterVacation,[2-3],Nonref,[160-260],[3-4],True
351,674,113,WinterVacation,[2-3],Standard,[160-260],[1-1],True
352,675,114,LowSeason,[4-7],Nonref,[160-260],[2-2],True
353,676,64,WinterVacation,[4-7],Standard,[160-260],[2-2],True
354,677,82,OffSeason,[2-3],Nonref,[260-360],[3-4],True
355,678,115,Easter,[2-3],Standard,[0-160],[1-1],False
356,679,82,OffSeason,[2-3],Nonref,[260-360],[3-4],True
357,680,78,OffSeason,[4-7],Nonref,[160-260],[3-4],False
358,681,47,OffSeason,[2-3],Nonref,[160-260],[3-4],True
359,682,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
360,683,2,WinterVacation,[2-3],Standard,[160-260],[2-2],True
361,684,14,OffSeason,[4-7],Standard,[160-260],[3-4],True
362,685,55,OffSeason,[0-1],Nonref,[160-260],[5-inf],True
363,686,22,OffSeason,[2-3],Standard,[160-260],[2-2],False
364,1,57,WinterVacation,[2-3],Nonref,[160-260],[2-2],True
365,687,116,HighSeason,[4-7],Standard,[260-360],[2-2],True
366,688,68,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
367,689,31,OffSeason,[2-3],Standard,[160-260],[5-inf],True
368,689,31,OffSeason,[2-3],Standard,[160-260],[5-inf],True
369,690,41,WinterVacation,[4-7],Standard,[160-260],[1-1],True
370,691,113,WinterVacation,[2-3],Standard,[160-260],[1-1],True
371,692,47,OffSeason,[2-3],Nonref,[160-260],[3-4],True
372,693,51,OffSeason,[4-7],Nonref,[160-260],[3-4],True
373,694,57,WinterVacation,[2-3],Nonref,[160-260],[2-2],True
374,695,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
375,696,12,LowSeason,[4-7],Standard,[160-260],[3-4],True
376,698,117,MayLongWeekend,[2-3],Standard,[260-360],[5-inf],True
377,699,47,OffSeason,[2-3],Nonref,[160-260],[3-4],True
378,700,52,OffSeason,[2-3],Nonref,[160-260],[2-2],True
379,701,54,OffSeason,[2-3],Nonref,[160-260],[3-4],False
380,702,52,OffSeason,[2-3],Nonref,[160-260],[2-2],True
381,703,52,OffSeason,[2-3],Nonref,[160-260],[2-2],True
382,704,118,WinterVacation,[0-1],Nonref,[160-260],[1-1],True
383,705,119,HighSeason,[8-inf],Standard,[160-260],[2-2],True
384,706,120,WinterVacation,[2-3],Standard,[160-260],[1-1],False
385,707,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
386,708,121,WinterVacation,[0-1],Standard,[0-160],[1-1],False
387,709,52,OffSeason,[2-3],Nonref,[160-260],[2-2],True
388,710,122,HighSeason,[2-3],Standard,[160-260],[2-2],True
389,711,123,MayLongWeekend,[4-7],Standard,[260-360],[3-4],True
390,712,124,WinterVacation,[4-7],Nonref,[160-260],[3-4],True
391,713,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
392,714,125,MayLongWeekend,[4-7],Nonref,[0-160],[2-2],True
393,715,23,OffSeason,[2-3],Standard,[160-260],[3-4],True
394,716,47,OffSeason,[2-3],Nonref,[160-260],[3-4],True
395,717,21,OffSeason,[2-3],Standard,[160-260],[2-2],True
396,718,58,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
397,719,37,OffSeason,[8-inf],Standard,[160-260],[2-2],True
398,721,126,MayLongWeekend,[2-3],Standard,[160-260],[3-4],True
399,722,123,MayLongWeekend,[4-7],Standard,[260-360],[3-4],True
400,723,47,OffSeason,[2-3],Nonref,[160-260],[3-4],True
401,725,58,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
402,725,58,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
403,727,47,OffSeason,[2-3],Nonref,[160-260],[3-4],True
404,728,18,MayLongWeekend,[4-7],Standard,[160-260],[3-4],True
405,729,25,OffSeason,[2-3],Standard,[260-360],[3-4],True
406,730,68,OffSeason,[2-3],Nonref,[260-360],[5-inf],True
407,731,58,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
408,731,58,OffSeason,[2-3],Nonref,[160-260],[5-inf],True
409,732,65,OffSeason,[2-3],Nonref,[0-160],[2-2],True
410,733,126,MayLongWeekend,[2-3],Standard,[160-260],[3-4],True
411,734,127,WinterVacation,[0-1],Standard,[260-360],[3-4],False
